Form 133 - Electronic Version,,,,,,,,,,,,
Well Activity Report,,,,,,,,,,,,
,,Beginning Date:,,,06/07/2015,Ending Date:,,06/13/2015,,,,
,,,REPORT IS NOT TO EXCEED 7 DAYS(1 WEEK) IN DURATION,,,,,,,,,
GENERAL INFORMATION,,,,,,,,,,,,
1. API WELL NO.(10 Digits),,,,,,,2. OPERATOR NAME,,,,,
60-824-40013,,,,,,,Anadarko Petroleum Corporation,,,,,
3. WELL NAME,,4. SIDETRACK NO.,,,5. BYPASS NO.,,,6. CONTACT NAME,,,,
SS001,,00,,,00,,,Reier Gaylene,,,,
"7. RIG NAME OR PRIMARY UNIT(e.g. Wireless Unit, Coil Tubing Unit, etc.)",,,,,,,,,8. WATER DEPTH,,9. ELEVATION AT KB,
DIAMOND OCEAN BLACKHORNET,,,,,,,,, ,, ,
10. CURRENT WELLBORE INFORMATION,,,,,,,,,,,,
SURFACE,,,,,,BOTTOM,,,,,,
LEASE NO.,,AREA NAME,,BLOCK NO.,,LEASE NO.,,AREA NAME,,,BLOCK NO.,
G23481 ,,LL ,,400 ,,G23481 ,,LL ,,,400 ,
WELLBORE,START DATE,TD DATE,,OP STATUS,END DATE,MD,,TVD,MW PPG,LAST BOP TEST DATE,LAST BOP TEST PRESSURE,
,,,,,,,,,,,LOW,HIGH
00,03/10/2010,11/18/2011,,PA, ,17715,,17642,10.4,06/08/2015,250,8000
11. WELLBORE HISTORICAL INFORMATION,,,,,,,,,,,,
WELLBORE,BOTTOM LEASE,,START DATE,,TD DATE,PLUGBACK DATE,,,,FINAL MD,FINAL TVD,
There is no wellbore historical information available.,,,,,,,,,,,,
12. CASING/LINER/TUBING RECORD,,,,,,,,,,,,
TUBULAR TYPE,HOLE SIZE (IN),SIZE (IN),WEIGHT (#/FEET),GRADE,TEST PRESSURE (psi),,SHOE TEST (EMW),,SETTING DEPTH (MD),,CEMENT QUANTITY      (Cubic Feet),
,,,,,,,,,LOW,HIGH,,
C,26,20,166.56,X-56,1550,,10.4,,0,9595,13526,
C,26,20,129.33,X-56,1550,,10.4,,0,12573,13526,
C,17,13.625,88.2,HCQ----125,3407,,11.1,,0,15300,968,
C,12.25,9.875,62.8,HCQ---125,2750,, ,,0,17676,680,
"13. OPEN HOLE TOOLS, MUDLOGS, AND DIRECTIONAL SURVEYS",,,,,,,,,,,,
SERVICE COMPANY,,,DATE OPERATIONS COMPLETED,,TOOL LOGGING METHOD,,LOG TOOL CODES,,,INTERVAL DEPTH(MD),,
,,,,,,,,,,TOP,BOTTOM,
NO LOGGING,,,,,,,,,,,,
14. IDENTIFY OTHER OPEN HOLE DATA COLLECTED,,,,,,,,,,,,
,,YES,NO,,,YES,NO,,,,YES,NO
VELOCITY SURVEYS,, , ,PALEO SAMPLES,, , ,SIDEWALL SAMPLES,,, , 
CONVENTIONAL CORES,, , ,LITHO SAMPLES,, , ,GEOCHEM SAMPLES,,, , 
15. WELL ACTIVITY SUMMARY,,,,,,,,,,,,
"6/7/2015
",,,,,,,,,,,,
"
",,,,,,,,,,,,
